route,period,passengers,is_eid_holiday,is_school_year_end,is_year_end_holiday
15,2025-09-01,136031.0,0,0,0
15,2025-10-01,149237.0,0,0,0
15,2025-11-01,156859.0,0,0,0
15,2025-12-01,149629.0,0,0,1
1B,2023-01-01,30943.0,0,0,0
1B,2023-02-01,27262.0,0,0,0
1B,2023-03-01,28974.0,0,0,0
1B,2023-04-01,22834.0,1,0,0
1B,2023-05-01,30169.0,0,0,0
1B,2023-06-01,27551.0,0,1,0
1B,2023-07-01,32828.0,0,1,0
1B,2023-08-01,34646.0,0,0,0
1B,2023-09-01,35417.0,0,0,0
1B,2023-10-01,36311.0,0,0,0
1B,2023-11-01,38663.0,0,0,0
1B,2023-12-01,38065.0,0,0,1
1B,2024-01-01,32344.0,0,0,0
1B,2024-02-01,52075.0,0,0,0
1B,2024-03-01,68219.0,0,0,0
1B,2024-04-01,60867.0,1,0,0
1B,2024-05-01,71993.0,0,0,0
1B,2024-06-01,65846.0,0,1,0
1B,2024-07-01,70624.0,0,1,0
1B,2024-08-01,70459.0,0,0,0
1B,2024-09-01,69424.0,0,0,0
1B,2024-10-01,71977.0,0,0,0
1B,2024-11-01,64956.0,0,0,0
1B,2024-12-01,74719.0,0,0,1
1B,2025-01-01,56854.0,0,0,0
1B,2025-02-01,34613.0,0,0,0
1B,2025-03-01,25866.0,1,0,0
1B,2025-04-01,33705.0,1,0,0
1B,2025-05-01,38739.0,0,0,0
1B,2025-06-01,31717.0,0,1,0
1B,2025-07-01,44470.0,0,1,0
1B,2025-08-01,44570.0,0,0,0
1B,2025-09-01,45220.0,0,0,0
1B,2025-10-01,47432.0,0,0,0
1B,2025-11-01,43822.0,0,0,0
1B,2025-12-01,46920.0,0,0,1
2B,2023-01-01,43807.0,0,0,0
2B,2023-02-01,41149.0,0,0,0
2B,2023-03-01,44210.0,0,0,0
2B,2023-04-01,31884.0,1,0,0
2B,2023-05-01,43713.0,0,0,0
2B,2023-06-01,37671.0,0,1,0
2B,2023-07-01,47128.0,0,1,0
2B,2023-08-01,53062.0,0,0,0
2B,2023-09-01,52048.0,0,0,0
2B,2023-10-01,53841.0,0,0,0
2B,2023-11-01,52873.0,0,0,0
2B,2023-12-01,49005.0,0,0,1
2B,2024-01-01,47893.0,0,0,0
2B,2024-02-01,57415.0,0,0,0
2B,2024-03-01,56502.0,0,0,0
2B,2024-04-01,52955.0,1,0,0
2B,2024-05-01,71663.0,0,0,0
2B,2024-06-01,63343.0,0,1,0
2B,2024-07-01,77511.0,0,1,0
2B,2024-08-01,88808.0,0,0,0
2B,2024-09-01,81873.0,0,0,0
2B,2024-10-01,83658.0,0,0,0
2B,2024-11-01,72990.0,0,0,0
2B,2024-12-01,70922.0,0,0,1
2B,2025-01-01,89915.0,0,0,0
2B,2025-02-01,84129.0,0,0,0
2B,2025-03-01,52013.0,1,0,0
2B,2025-04-01,58719.0,1,0,0
2B,2025-05-01,60853.0,0,0,0
2B,2025-06-01,48300.0,0,1,0
2B,2025-07-01,67043.0,0,1,0
2B,2025-08-01,75396.0,0,0,0
2B,2025-09-01,70479.0,0,0,0
2B,2025-10-01,79317.0,0,0,0
2B,2025-11-01,68481.0,0,0,0
2B,2025-12-01,68141.0,0,0,1
3A,2023-01-01,71320.0,0,0,0
3A,2023-02-01,65740.0,0,0,0
3A,2023-03-01,72049.0,0,0,0
3A,2023-04-01,59717.0,1,0,0
3A,2023-05-01,73860.0,0,0,0
3A,2023-06-01,68475.0,0,1,0
3A,2023-07-01,78507.0,0,1,0
3A,2023-08-01,79031.0,0,0,0
3A,2023-09-01,78398.0,0,0,0
3A,2023-10-01,81587.0,0,0,0
3A,2023-11-01,80923.0,0,0,0
3A,2023-12-01,86746.0,0,0,1
3A,2024-01-01,75057.0,0,0,0
3A,2024-02-01,100410.0,0,0,0
3A,2024-03-01,112459.0,0,0,0
3A,2024-04-01,114197.0,1,0,0
3A,2024-05-01,124323.0,0,0,0
3A,2024-06-01,118874.0,0,1,0
3A,2024-07-01,131583.0,0,1,0
3A,2024-08-01,122946.0,0,0,0
3A,2024-09-01,138664.0,0,0,0
3A,2024-10-01,149093.0,0,0,0
3A,2024-11-01,136093.0,0,0,0
3A,2024-12-01,161611.0,0,0,1
3A,2025-01-01,166703.0,0,0,0
3A,2025-02-01,131511.0,0,0,0
3A,2025-03-01,89856.0,1,0,0
3A,2025-04-01,97140.0,1,0,0
3A,2025-05-01,106986.0,0,0,0
3A,2025-06-01,88510.0,0,1,0
3A,2025-07-01,104285.0,0,1,0
3A,2025-08-01,108553.0,0,0,0
3A,2025-09-01,107124.0,0,0,0
3A,2025-10-01,117987.0,0,0,0
3A,2025-11-01,116003.0,0,0,0
3A,2025-12-01,114178.0,0,0,1
3B,2023-01-01,48505.0,0,0,0
3B,2023-02-01,45388.0,0,0,0
3B,2023-03-01,50101.0,0,0,0
3B,2023-04-01,40504.0,1,0,0
